ED_x,ED_y
31367.90347,-3103.044965
31367.90347,-3103.044665
31367.90348,-3103.043315
31367.9035,-3103.041024
31367.90354,-3103.037878
31367.90359,-3103.033922
31367.90366,-3103.029196
31367.90375,-3103.023739
31367.90385,-3103.017586
31367.90397,-3103.010771
31367.90408,-3103.003324
31367.90419,-3102.995277
31367.9043,-3102.986656
31367.90441,-3102.977488
31367.9045,-3102.9678
31367.90459,-3102.957613
31367.90467,-3102.946951
31367.90475,-3102.935835
31367.90482,-3102.924285
31367.90488,-3102.912321
31367.90493,-3102.899961
31367.90498,-3102.887223
31367.90503,-3102.874122
31367.90507,-3102.860675
31367.90511,-3102.846898
31367.90515,-3102.832804
31367.90519,-3102.818409
31367.90522,-3102.803724
31367.90526,-3102.788764
31367.9053,-3102.77354
31367.90535,-3102.758063
31367.9054,-3102.742346
31367.90545,-3102.726399
31367.9055,-3102.710232
31367.90557,-3102.693855
31367.90563,-3102.677277
31367.9057,-3102.660507
31367.90578,-3102.643554
31367.90586,-3102.626424
31367.90595,-3102.609307
31367.90604,-3102.592312
31367.90613,-3102.575151
31367.90622,-3102.557823
31367.90632,-3102.540333
31367.90641,-3102.522688
31367.90651,-3102.504895
31367.90661,-3102.48696
31367.90671,-3102.468888
31367.90681,-3102.450684
31367.90691,-3102.432352
31367.90701,-3102.413898
31367.90711,-3102.395325
31367.90721,-3102.376636
31367.9073,-3102.357837
31367.9074,-3102.33893
31367.90749,-3102.319918
31367.90758,-3102.300805
31367.90767,-3102.281593
31367.90776,-3102.262285
31367.90785,-3102.242885
31367.90793,-3102.223394
31367.90802,-3102.203815
31367.90811,-3102.184151
31367.9082,-3102.164404
31367.90829,-3102.144576
31367.90838,-3102.12467
31367.90847,-3102.104688
31367.90857,-3102.084631
31367.90866,-3102.064503
31367.90876,-3102.044304
31367.90886,-3102.024036
31367.90897,-3102.003703
31367.90907,-3101.983305
31367.90918,-3101.962843
31367.90929,-3101.942321
31367.9094,-3101.921739
31367.90951,-3101.901098
31367.90962,-3101.880401
31367.90974,-3101.859649
31367.90986,-3101.838842
31367.90997,-3101.817983
31367.91009,-3101.797073
31367.91021,-3101.776112
31367.91033,-3101.755102
31367.91045,-3101.734044
31367.91057,-3101.712938
31367.91069,-3101.691787
31367.91081,-3101.67059
31367.91093,-3101.649349
31367.91105,-3101.628064
31367.91116,-3101.606736
31367.91128,-3101.585366
31367.9114,-3101.563955
31367.91152,-3101.542503
31367.91164,-3101.521012
31367.91176,-3101.499481
31367.91188,-3101.477911
31367.912,-3101.456304
31367.91212,-3101.434658
31367.91224,-3101.412976
31367.91236,-3101.391258
31367.91249,-3101.369503
31367.91261,-3101.347714
31367.91273,-3101.325889
31367.91286,-3101.30403
31367.91299,-3101.282138
31367.91311,-3101.260211
31367.91324,-3101.238252
31367.91337,-3101.216261
31367.9135,-3101.194237
31367.91363,-3101.172182
31367.91377,-3101.150096
31367.9139,-3101.127978
31367.91403,-3101.105831
31367.91417,-3101.083653
31367.91431,-3101.061446
31367.91444,-3101.039209
31367.91458,-3101.016944
31367.91472,-3100.99465
31367.91486,-3100.972328
31367.915,-3100.949978
31367.91514,-3100.9276
31367.91528,-3100.905195
31367.91542,-3100.882763
31367.91556,-3100.860305
31367.9157,-3100.83782
31367.91585,-3100.815309
31367.91599,-3100.792772
31367.91613,-3100.77021
31367.91628,-3100.747622
31367.91642,-3100.72501
31367.91657,-3100.702372
31367.91671,-3100.67971
31367.91686,-3100.657024
31367.917,-3100.634314
31367.91715,-3100.61158
31367.9173,-3100.588822
31367.91745,-3100.566041
31367.9176,-3100.543236
31367.91775,-3100.520409
31367.9179,-3100.497558
31367.91805,-3100.474685
31367.9182,-3100.45179
31367.91835,-3100.428872
31367.91851,-3100.405933
31367.91866,-3100.382971
31367.91882,-3100.359988
31367.91897,-3100.336983
31367.91913,-3100.313957
31367.91928,-3100.29091
31367.91944,-3100.267841
31367.9196,-3100.244752
31367.91976,-3100.221642
31367.91992,-3100.198512
31367.92008,-3100.175361
31367.92024,-3100.15219
31367.9204,-3100.128999
31367.92057,-3100.105788
31367.92073,-3100.082558
31367.9209,-3100.059308
31367.92106,-3100.036038
31367.92123,-3100.012749
31367.9214,-3099.989441
31367.92157,-3099.966114
31367.92174,-3099.942768
31367.92191,-3099.919403
31367.92208,-3099.896019
31367.92225,-3099.872617
31367.92242,-3099.849197
31367.92259,-3099.825758
31367.92276,-3099.802302
31367.92294,-3099.778827
31367.92311,-3099.755334
31367.92328,-3099.731824
31367.92346,-3099.708296
31367.92363,-3099.684751
31367.92381,-3099.661188
31367.92398,-3099.637608
31367.92415,-3099.61401
31367.92433,-3099.590396
31367.9245,-3099.566765
31367.92468,-3099.543117
31367.92485,-3099.519452
31367.92502,-3099.495771
31367.9252,-3099.472073
31367.92537,-3099.448358
31367.92554,-3099.424628
31367.92572,-3099.400881
31367.92589,-3099.377118
31367.92607,-3099.353339
31367.92624,-3099.329544
31367.92642,-3099.305734
31367.92659,-3099.281908
31367.92676,-3099.258066
31367.92694,-3099.234209
31367.92712,-3099.210336
31367.92729,-3099.186448
31367.92747,-3099.162545
31367.92765,-3099.138627
31367.92782,-3099.114694
31367.928,-3099.090746
31367.92818,-3099.066783
31367.92836,-3099.042805
31367.92854,-3099.018813
31367.92873,-3098.994806
31367.92891,-3098.970785
31367.92909,-3098.94675
31367.92928,-3098.9227
31367.92946,-3098.898636
31367.92965,-3098.874558
31367.92984,-3098.850465
31367.93002,-3098.826359
31367.93021,-3098.802239
31367.9304,-3098.778106
31367.93059,-3098.753958
31367.93078,-3098.729797
31367.93097,-3098.705623
31367.93117,-3098.681435
31367.93136,-3098.657234
31367.93155,-3098.633019
31367.93174,-3098.608791
31367.93193,-3098.584551
31367.93212,-3098.560297
31367.93232,-3098.53603
31367.93251,-3098.51175
31367.9327,-3098.487458
31367.93289,-3098.463152
31367.93309,-3098.438834
31367.93328,-3098.414504
31367.93347,-3098.390161
31367.93367,-3098.365805
31367.93386,-3098.341438
31367.93406,-3098.317058
31367.93425,-3098.292665
31367.93445,-3098.268261
31367.93464,-3098.243844
31367.93484,-3098.219416
31367.93503,-3098.194976
31367.93523,-3098.170523
31367.93543,-3098.146059
31367.93563,-3098.121584
31367.93583,-3098.097096
31367.93603,-3098.072598
31367.93623,-3098.048087
31367.93644,-3098.023565
31367.93664,-3097.999032
31367.93685,-3097.974488
31367.93705,-3097.949932
31367.93726,-3097.925365
31367.93747,-3097.900787
31367.93767,-3097.876198
31367.93788,-3097.851599
31367.93809,-3097.826988
31367.93831,-3097.802366
31367.93852,-3097.777734
31367.93873,-3097.753091
31367.93894,-3097.728437
31367.93915,-3097.703772
31367.93937,-3097.679098
31367.93958,-3097.654412
31367.9398,-3097.629716
31367.94001,-3097.60501
31367.94023,-3097.580294
31367.94044,-3097.555567
31367.94066,-3097.530831
31367.94088,-3097.506084
31367.9411,-3097.481327
31367.94132,-3097.45656
31367.94154,-3097.431784
31367.94177,-3097.406997
31367.942,-3097.382201
31367.94223,-3097.357395
31367.94247,-3097.33258
31367.94271,-3097.307754
31367.94295,-3097.28292
31367.9432,-3097.258076
31367.94346,-3097.233222
31367.94372,-3097.20836
31367.94398,-3097.183488
31367.94426,-3097.158606
31367.94454,-3097.133716
31367.94483,-3097.108817
31367.94513,-3097.083909
31367.94544,-3097.058991
31367.94576,-3097.034065
31367.94608,-3097.009131
31367.94642,-3096.984187
31367.94676,-3096.959235
31367.9471,-3096.934273
31367.94746,-3096.909304
31367.94781,-3096.884325
31367.94817,-3096.859338
31367.94853,-3096.834342
31367.9489,-3096.809338
31367.94926,-3096.784325
31367.94962,-3096.759303
31367.94998,-3096.734273
31367.95034,-3096.709235
31367.95069,-3096.684188
31367.95104,-3096.659133
31367.95139,-3096.634069
31367.95174,-3096.608998
31367.95208,-3096.583918
31367.95241,-3096.55883
31367.95275,-3096.533734
31367.95308,-3096.50863
31367.95341,-3096.483518
31367.95374,-3096.458398
31367.95406,-3096.43327
31367.95439,-3096.408135
31367.95472,-3096.382992
31367.95504,-3096.357841
31367.95537,-3096.332682
31367.9557,-3096.307516
31367.95603,-3096.282343
31367.95636,-3096.257162
31367.9567,-3096.231973
31367.95703,-3096.206777
31367.95737,-3096.181574
31367.95772,-3096.156363
31367.95806,-3096.131145
31367.9584,-3096.10592
31367.95875,-3096.080688
31367.9591,-3096.055448
31367.95945,-3096.030202
31367.9598,-3096.004948
31367.96016,-3095.979687
31367.96051,-3095.95442
31367.96086,-3095.929264
31367.96121,-3095.904291
31367.96156,-3095.879304
31367.96191,-3095.8543
31367.96226,-3095.829277
31367.96261,-3095.804238
31367.96296,-3095.779182
31367.96331,-3095.754111
31367.96366,-3095.729025
31367.96402,-3095.703925
31367.96437,-3095.678811
31367.96472,-3095.653682
31367.96507,-3095.628541
31367.96543,-3095.603386
31367.96578,-3095.578218
31367.96614,-3095.553037
31367.96649,-3095.527844
31367.96685,-3095.502639
31367.9672,-3095.477422
31367.96756,-3095.452193
31367.96792,-3095.426952
31367.96829,-3095.401699
31367.96865,-3095.376436
31367.96901,-3095.351161
31367.96938,-3095.325875
31367.96975,-3095.300578
31367.97012,-3095.275271
31367.97049,-3095.249953
31367.97086,-3095.224625
31367.97123,-3095.199287
31367.97161,-3095.17394
31367.97199,-3095.148582
31367.97237,-3095.123215
31367.97275,-3095.097839
31367.97313,-3095.072453
31367.97351,-3095.047059
31367.97389,-3095.021656
31367.97428,-3094.996245
31367.97466,-3094.970825
31367.97505,-3094.945397
31367.97544,-3094.919961
31367.97583,-3094.894517
31367.97621,-3094.869066
31367.9766,-3094.843607
31367.97699,-3094.81814
31367.97739,-3094.792666
31367.97778,-3094.767186
31367.97817,-3094.741698
31367.97856,-3094.716203
31367.97896,-3094.690701
31367.97935,-3094.665193
31367.97975,-3094.639678
31367.98015,-3094.614157
31367.98054,-3094.588629
31367.98094,-3094.563094
31367.98134,-3094.537554
31367.98174,-3094.512007
31367.98214,-3094.486454
31367.98255,-3094.460895
31367.98295,-3094.43533
31367.98336,-3094.409759
31367.98376,-3094.384182
31367.98417,-3094.3586
31367.98458,-3094.333011
31367.98499,-3094.307417
31367.9854,-3094.281818
31367.98581,-3094.256212
31367.98622,-3094.230601
31367.98664,-3094.204985
31367.98705,-3094.179364
31367.98747,-3094.153737
31367.98789,-3094.128104
31367.98831,-3094.102467
31367.98873,-3094.076824
31367.98915,-3094.051176
31367.98957,-3094.025523
31367.98999,-3093.999865
31367.99042,-3093.974203
31367.99084,-3093.948535
31367.99126,-3093.922862
31367.99169,-3093.897185
31367.99211,-3093.871502
31367.99254,-3093.845816
31367.99296,-3093.820124
31367.99339,-3093.794428
31367.99382,-3093.768727
31367.99425,-3093.743022
31367.99467,-3093.717312
31367.9951,-3093.691598
31367.99553,-3093.665879
31367.99597,-3093.640156
31367.9964,-3093.614429
31367.99683,-3093.588697
31367.99727,-3093.562961
31367.9977,-3093.537221
31367.99814,-3093.511477
31367.99858,-3093.485729
31367.99901,-3093.459976
31367.99945,-3093.43422
31367.9999,-3093.408459
31368.00034,-3093.382695
31368.00078,-3093.356926
31368.00123,-3093.331153
31368.00167,-3093.305377
31368.00212,-3093.279597
31368.00257,-3093.253813
31368.00302,-3093.228025
31368.00347,-3093.202233
31368.00392,-3093.176437
31368.00438,-3093.150638
31368.00483,-3093.124835
31368.00528,-3093.099028
31368.00574,-3093.073218
31368.0062,-3093.047404
31368.00665,-3093.021586
31368.00711,-3092.995765
31368.00757,-3092.96994
31368.00803,-3092.944112
31368.00849,-3092.918281
31368.00896,-3092.892445
31368.00942,-3092.866607
31368.00988,-3092.840765
31368.01035,-3092.814919
31368.01081,-3092.789071
31368.01128,-3092.763218
31368.01175,-3092.737363
31368.01222,-3092.711504
31368.01269,-3092.685642
31368.01316,-3092.659777
31368.01363,-3092.633909
31368.0141,-3092.608037
31368.01457,-3092.582162
31368.01504,-3092.556284
31368.01551,-3092.530403
31368.01599,-3092.504519
31368.01646,-3092.478632
31368.01693,-3092.452741
31368.01741,-3092.426848
31368.01789,-3092.400951
31368.01836,-3092.375052
31368.01884,-3092.34915
31368.01932,-3092.323244
